"p1","p2","days","inst1_1","inst1_2","inst2_1","inst2_2","inst3_1","inst3_2","inst4_1","inst4_2","inst5_1","inst5_2"
"{a0} meet {a1}","{a0} welcome {a1}","18","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>angela merkel</font>","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>donald trump</font> meets <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>merkel</font>","<font color='#d95f02'>potus donald trump</font> meets <font color='#7570b3'>chancellor angela merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>"
"to introduce {a0} with {a1}","{a0} have {a1}","20-22","to introduce <font color='#d95f02'>muppet</font> with <font color='#7570b3'>autism</font>","<font color='#d95f02'>new muppet</font> has <font color='#7570b3'>autism</font>","to introduce <font color='#d95f02'>muppet</font> with <font color='#7570b3'>autism</font>","<font color='#d95f02'>ocsbspeced sesame street's newest muppet</font> has <font color='#7570b3'>autism</font>","<font color='#d95f02'>muppet</font> has <font color='#7570b3'>autism</font>","to introduce <font color='#d95f02'>first muppet</font> with <font color='#7570b3'>autism</font>","<font color='#d95f02'>sesame street's new muppet</font> has <font color='#7570b3'>autism</font>","to introduce <font color='#d95f02'>new muppet</font> with <font color='#7570b3'>autism</font>","<font color='#d95f02'>a new muppet</font> has <font color='#7570b3'>autism</font>","to introduce <font color='#d95f02'>muppet</font> with <font color='#7570b3'>autism</font>"
"{a0} kill {a1}","{a0} shoot {a1}","19-21-22","<font color='#d95f02'>police</font> kill <font color='#7570b3'>man</font>","<font color='#d95f02'>detroit police officer</font> shot <font color='#7570b3'>man</font>","<font color='#d95f02'>security forces</font> shoot <font color='#7570b3'>man</font>","<font color='#d95f02'>security forces</font> kill <font color='#7570b3'>man</font>","<font color='#d95f02'>wonkworld bangladesh police</font> shoot <font color='#7570b3'>armed</font>","<font color='#d95f02'>bangladesh</font> kills <font color='#7570b3'>armed</font>","<font color='#d95f02'>fecurity sorces</font> kill <font color='#7570b3'>man</font>","<font color='#d95f02'>security forces</font> shoot <font color='#7570b3'>man</font>","<font color='#d95f02'>breakingnews bangladesh police</font> shoot <font color='#7570b3'>armed</font>","<font color='#d95f02'>bangladesh police</font> kill <font color='#7570b3'>armed</font>"
"{a0} give {a1}","{a0} grant {a1}","16-17","<font color='#d95f02'>river</font> given <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>mori river</font> granted <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>newzealand river</font> granted <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>river</font> given <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>whanganui river</font> given <font color='#7570b3'>legal status</font>","<font color='#d95f02'>whanganui river</font> granted <font color='#7570b3'>legal status</font>","<font color='#d95f02'>river</font> given <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>newzealand river</font> granted <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>whanganui river</font> granted <font color='#7570b3'>legal status</font>","<font color='#d95f02'>river</font> given <font color='#7570b3'>legal status</font>"
"{a0} slash {a1}","{a0} would boost {a1}","17","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trumps budget</font> would boost <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> would boost <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> would boost <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funds</font>","<font color='#d95f02'>trumps budget</font> would boost <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>nih funding</font>","<font color='#d95f02'>trump's budget</font> would boost <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funds</font>"
"{a0} pay {a1}","{a0} want {a1}","16-17","<font color='#d95f02'>president trump</font> paid <font color='#7570b3'>million</font>","<font color='#d95f02'>trump</font> wants <font color='#7570b3'>billion</font>","<font color='#d95f02'>president trump</font> paid <font color='#7570b3'>million</font>","<font color='#d95f02'>president trump</font> wants <font color='#7570b3'>billion</font>","<font color='#d95f02'>president trump</font> paid <font color='#7570b3'>million</font>","<font color='#d95f02'>president trump</font> wants <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> wants <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> paid <font color='#7570b3'>million</font>","<font color='#d95f02'>trump</font> wants <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> paid <font color='#7570b3'>million</font>"
"{a0} eliminate {a1}","{a0} would eliminate {a1}","22","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's proposed budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump proposed budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump proposed budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's proposed budget</font> would eliminate <font color='#7570b3'>funding</font>"
"{a0} slash {a1}","{a0} would slash {a1}","18-19-20-21","<font color='#d95f02'>trump budget</font> would slash <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> would slash <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump budget</font> would slash <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>nih funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> would slash <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> would slash <font color='#7570b3'>funding</font>"
"{a0} to become {a1}","{a0} will be {a1}","18","<font color='#d95f02'>george osborne</font> will be <font color='#7570b3'>the new editor</font>","<font color='#d95f02'>george_osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> will be <font color='#7570b3'>the new editor</font>","<font color='#d95f02'>? - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>former chancellor george osborne</font> will be <font color='#7570b3'>editor</font>","<font color='#d95f02'>osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> will be <font color='#7570b3'>the new editor</font>","<font color='#d95f02'>? - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> will be <font color='#7570b3'>the new editor</font>","<font color='#d95f02'>george osborne</font> to become <font color='#7570b3'>editor</font>"
"{a0} ask {a1}","{a0} meet {a1}","20","<font color='#d95f02'>rt politico merkel</font> asks <font color='#7570b3'>trump</font>","<font color='#d95f02'>merkel</font> meets <font color='#7570b3'>trump</font>","<font color='#d95f02'>rt politico merkel</font> asks <font color='#7570b3'>trump</font>","<font color='#d95f02'>merkel</font> meets <font color='#7570b3'>trump</font>","<font color='#d95f02'>kenny</font> asks <font color='#7570b3'>trump</font>","<font color='#d95f02'>pm kenny</font> meets <font color='#7570b3'>trump</font>","<font color='#d95f02'>merkel</font> asked <font color='#7570b3'>president trump</font>","<font color='#d95f02'>merkel</font> meets <font color='#7570b3'>trump</font>","<font color='#d95f02'>merkel</font> asked <font color='#7570b3'>trump</font>","<font color='#d95f02'>merkel</font> met <font color='#7570b3'>trump</font>"
"{a0} block {a1}","{a0} halt {a1}","16","<font color='#d95f02'>the federal judge</font> blocking <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>a federal judge</font> halted <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> halted <font color='#7570b3'>second trump travel ban</font>","<font color='#d95f02'>federal judge</font> halts <font color='#7570b3'>trump's new travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>trump's second travel ban</font>","<font color='#d95f02'>the hawaii judge</font> blocked <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>the hawaii judge</font> halting <font color='#7570b3'>trump's travel ban - fox nation</font>","<font color='#d95f02'>a federal judge</font> halted <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>a federal judge</font> blocked <font color='#7570b3'>trump's new travel ban</font>"
"{a0} seek {a1}","{a0} want {a1}","22","<font color='#d95f02'>trump's budget</font> wants <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>big cuts</font>","<font color='#d95f02'>trump</font> wants <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billions</font>","<font color='#d95f02'>.trump budget</font> seeks <font color='#7570b3'>big cuts</font>","<font color='#d95f02'>trump's budget</font> wants <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump's budget</font> wants <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>big cuts</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billions</font>","<font color='#d95f02'>president trump</font> wants <font color='#7570b3'>billion</font>"
"{a0} have {a1}","{a0} will have {a1}","17-22","<font color='#d95f02'>scotland</font> have <font color='#7570b3'>second independence referendum</font>","<font color='#d95f02'>scotland</font> will have <font color='#7570b3'>a second independence referendum - snp deputy leader angusrobertson</font>","<font color='#d95f02'>trump</font> will have <font color='#7570b3'>plenty</font>","<font color='#d95f02'>trump</font> has <font color='#7570b3'>spies</font>","<font color='#d95f02'>ivanka trump</font> will have <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> has <font color='#7570b3'>west wing effico</font>","<font color='#d95f02'>trump budget</font> has <font color='#7570b3'>major cuts</font>","<font color='#d95f02'>trump's budget</font> will have <font color='#7570b3'>major cuts</font>","<font color='#d95f02'>scotland</font> will have <font color='#7570b3'>a second independence referendum - snp deputy leader angusrobertson</font>","<font color='#d95f02'>scotland</font> have <font color='#7570b3'>a second independence</font>"
"rip {a0} at {a1}","{a0} die at {a1}","19","rip <font color='#d95f02'>chuckberry</font> at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90</font>","rip <font color='#d95f02'>chuck berry</font> at <font color='#7570b3'>90</font>","<font color='#d95f02'>legendary musician chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry chuck berry</font> dies at <font color='#7570b3'>90</font>","rip <font color='#d95f02'>chuck berry</font> at <font color='#7570b3'>90</font>","<font color='#d95f02'>' roll legend chuck berry</font> dies at <font color='#7570b3'>90</font>","rip <font color='#d95f02'>chuck berry chuck berry</font> at <font color='#7570b3'>90</font>","rip <font color='#d95f02'>chuck berry</font> at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry ''chuck berry</font> dies at <font color='#7570b3'>90</font>"
"{a0} call for {a1}","{a0} seek {a1}","17-19","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>billion$</font>","<font color='#d95f02'>budget</font> calls for <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump budget</font> calls for <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump's budget</font> calls for <font color='#7570b3'>$54 billion increase</font>","<font color='#d95f02'>police</font> seek <font color='#7570b3'>help</font>","<font color='#d95f02'>police</font> calls for <font color='#7570b3'>help</font>","<font color='#d95f02'>president trump's proposed budget</font> calls for <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump's proposed budget</font> seeks <font color='#7570b3'>cuts</font>"
"{a0} bring {a1}","{a0} welcome {a1}","20-21-22","<font color='#d95f02'>sesame street</font> brings <font color='#7570b3'>julia</font>","<font color='#d95f02'>great to see! sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>inthenews - sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> brings <font color='#7570b3'>julia</font>","<font color='#d95f02'>just the beginning politicsghost sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> brings <font color='#7570b3'>julia</font>","<font color='#d95f02'>great to see! sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> brings <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> brings <font color='#7570b3'>julia</font>","<font color='#d95f02'>heart warming- sesame street</font> welcomes <font color='#7570b3'>julia</font>"
"{a0} make {a1}","{a0} to become {a1}","21","<font color='#d95f02'>george osborne</font> to become <font color='#7570b3'>paper editor</font>","<font color='#d95f02'>george osborne</font> made <font color='#7570b3'>editor</font>","<font color='#d95f02'>holy fuck - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> made <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> made <font color='#7570b3'>editor</font>","<font color='#d95f02'>hahahahahahaha george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>holy fuck - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> made <font color='#7570b3'>editor</font>","<font color='#d95f02'>bbc news - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> made <font color='#7570b3'>editor</font>"
"{a0} be write {a1}","{a0} has {a1}","17","<font color='#d95f02'>chelsea clinton</font> has <font color='#7570b3'>a new children's book</font>","<font color='#d95f02'>technos chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> has <font color='#7570b3'>a new children's book</font>","<font color='#d95f02'>dtmag chelsea clinton</font> is writing <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>chelsea clinton</font> has <font color='#7570b3'>a new children's book</font>","<font color='#d95f02'>world news chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>dtmag chelsea clinton</font> is writing <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>chelsea clinton</font> has <font color='#7570b3'>a new children's book</font>","<font color='#d95f02'>chelsea clinton</font> has <font color='#7570b3'>a new children's book</font>","<font color='#d95f02'>conface chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>"
"{a0} have {a1}","{a0} lose {a1}","17","<font color='#d95f02'>words</font> lose <font color='#7570b3'>their meaning</font>","<font color='#d95f02'>words</font> have <font color='#7570b3'>meaning</font>","<font color='#d95f02'>adam johnson</font> has <font color='#7570b3'>appeal</font>","<font color='#d95f02'>adam johnson</font> loses <font color='#7570b3'>appeal court challenge</font>","<font color='#d95f02'>woman</font> has <font color='#7570b3'>fingers</font>","<font color='#d95f02'>woman</font> loses <font color='#7570b3'>fingers</font>","<font color='#d95f02'>trump</font> has <font color='#7570b3'>no financial interest</font>","<font color='#d95f02'>trump</font> loses <font color='#7570b3'>interest</font>","<font color='#d95f02'>former footballer adam johnson</font> loses <font color='#7570b3'>appeal</font>","<font color='#d95f02'>adam johnson</font> has <font color='#7570b3'>appeal</font>"
"grab {a0} at {a1}","to steal {a0} at {a1}","19","to steal <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris airport ^nydailynews</font>","grabbing <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","grabbing <font color='#d95f02'>solider's gun</font> at <font color='#7570b3'>paris orly airport</font>","to steal <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>paris orly airportman</font>","to steal <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport - new york daily news</font>","grabbing <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","grabbing <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport</font>","to steal <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport - new york</font>","grabbing <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris airport</font>","to steal <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>"
"{a0} eliminate {a1}","{a0} slash {a1}","17-21","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>nih funding</font>","<font color='#d95f02'>trump budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>t*ump's budget</font> slashes <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funding</font>","<font color='#d95f02'>t*ump's budget</font> slashes <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funds</font>","<font color='#d95f02'>12) trump budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>t*ump's budget</font> slashes <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funds</font>"
"{a0} point {a1}","{a0} pull {a1}","22","<font color='#d95f02'>seanhannity</font> pulled <font color='#7570b3'>a gun</font>","<font color='#d95f02'>sean hannity</font> pointed <font color='#7570b3'>a gun</font>","<font color='#d95f02'>hannity</font> pulled <font color='#7570b3'>gun</font>","<font color='#d95f02'>sean hannity</font> pointed <font color='#7570b3'>gun</font>","<font color='#d95f02'>sean hannity</font> pulled <font color='#7570b3'>a gun</font>","<font color='#d95f02'>sean hannity</font> pointed <font color='#7570b3'>a gun</font>","<font color='#d95f02'>sean hannity</font> pulled <font color='#7570b3'>gun</font>","<font color='#d95f02'>complete wingnut sean hannity</font> pointed <font color='#7570b3'>gun</font>","<font color='#d95f02'>sean hannity</font> pulled <font color='#7570b3'>a gun</font>","<font color='#d95f02'>sean hannity</font> pointed <font color='#7570b3'>a gun</font>"
"{a0} can not be {a1}","{a0} to become {a1}","19","<font color='#d95f02'>osborne</font> can't be <font color='#7570b3'>editor</font>","<font color='#d95f02'>osbourne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>osborne</font> can't be <font color='#7570b3'>editor</font>","<font color='#d95f02'>: bbc news - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>bbc - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>osborne</font> can't be <font color='#7570b3'>editor</font>","<font color='#d95f02'>osborne</font> can't be <font color='#7570b3'>editor</font>","<font color='#d95f02'>jobsfortheboys bbc news - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>news george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>osborne</font> can't be <font color='#7570b3'>editor</font>"
"{a0} defend {a1}","{a0} stand by {a1}","16-20","<font color='#d95f02'>trump</font> stands by <font color='#7570b3'>wiretapping</font>","<font color='#d95f02'>trump</font> defends <font color='#7570b3'>obama wiretapping charges</font>","<font color='#d95f02'>president trump</font> stood by <font color='#7570b3'>his wiretapping claim</font>","<font color='#d95f02'>trump</font> defends <font color='#7570b3'>wiretapping claims</font>","<font color='#d95f02'>trump</font> stands by <font color='#7570b3'>' wiretapping claim</font>","<font color='#d95f02'>president trump</font> defends <font color='#7570b3'>wiretapping claims</font>","<font color='#d95f02'>white house</font> defends <font color='#7570b3'>claims</font>","<font color='#d95f02'>white house</font> stands by <font color='#7570b3'>'' wiretapping claims</font>","<font color='#d95f02'>president trump</font> defends <font color='#7570b3'>wiretapping claims</font>","<font color='#d95f02'>video: president trump</font> stood by <font color='#7570b3'>his wiretapping claim</font>"
"{a0} compare {a1}","{a0} liken {a1}","20-22","<font color='#d95f02'>official opposition - farron</font> likens <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>farron</font> compares <font color='#7570b3'>pms politics</font>","<font color='#d95f02'>official opposition - farron</font> likens <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>farron</font> compares <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>farron</font> compares <font color='#7570b3'>pms politics</font>","<font color='#d95f02'>farron</font> likens <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>[bbc news farron</font> likens <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>farron</font> compares <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>farron</font> compares <font color='#7570b3'>pm's politics</font>","<font color='#d95f02'>news - farron</font> likens <font color='#7570b3'>pm's politics</font>"
"{a0} announce {a1}","{a0} be write {a1}","20","<font color='#d95f02'>chelsea clinton</font> is writing <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>chelsea clinton</font> announces <font color='#7570b3'>new children's book</font>","<font color='#d95f02'>chelsea clinton</font> is writing <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>chelsea clinton</font> announces <font color='#7570b3'>new children's book</font>","<font color='#d95f02'>chelsea clinton</font> is writing <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>.@chelseaclinton</font> announces <font color='#7570b3'>new childrens book</font>","<font color='#d95f02'>technos chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> announces <font color='#7570b3'>new children's book</font>","<font color='#d95f02'>.chelseaclinton</font> announces <font color='#7570b3'>new children's book</font>","<font color='#d95f02'>chelsea clinton</font> is writing <font color='#7570b3'>a childrens book</font>"
"{a0} add {a1}","{a0} bring {a1}","16-18","<font color='#d95f02'>mobile alexa amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> brought <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> brings <font color='#7570b3'>echo-free alexa</font>","<font color='#d95f02'>amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> brings <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>letsnurture amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> brought <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> brought <font color='#7570b3'>alexa</font>","<font color='#d95f02'>twitter techcrunch amazon</font> adds <font color='#7570b3'>alexa</font>"
"{a0} announce {a1}","{a0} unveil {a1}","21","<font color='#d95f02'>apple</font> announces <font color='#7570b3'>a new ipad</font>","<font color='#d95f02'>apple</font> unveils <font color='#7570b3'>a new ipad</font>","<font color='#d95f02'>ibm</font> announces <font color='#7570b3'>enterprise-ready blockchain services</font>","<font color='#d95f02'>ibm</font> unveils <font color='#7570b3'>blockchain</font>","<font color='#d95f02'>ibm</font> announces <font color='#7570b3'>enterprise-ready blockchain services</font>","<font color='#d95f02'>$ibm</font> unveils <font color='#7570b3'>blockchain</font>","<font color='#d95f02'>'ibm</font> unveils <font color='#7570b3'>blockchain</font>","<font color='#d95f02'>ibm</font> announces <font color='#7570b3'>enterprise-ready blockchain services</font>","<font color='#d95f02'>technology ibm</font> unveils <font color='#7570b3'>blockchain</font>","<font color='#d95f02'>ibm</font> announces <font color='#7570b3'>blockchain</font>"
"{a0} have {a1}","{a0} take {a1}","18-21","<font color='#d95f02'>people</font> take <font color='#7570b3'>control</font>","<font color='#d95f02'>people</font> have <font color='#7570b3'>a learning</font>","<font color='#d95f02'>trump</font> takes <font color='#7570b3'>a gamble</font>","<font color='#d95f02'>trump</font> had <font color='#7570b3'>no chance</font>","<font color='#d95f02'>trump</font> takes <font color='#7570b3'>gamble</font>","<font color='#d95f02'>trump</font> has <font color='#7570b3'>a chance</font>","<font color='#d95f02'>ivanka trump</font> has <font color='#7570b3'>west wing effico</font>","<font color='#d95f02'>ivanka trump</font> takes <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>trump</font> has <font color='#7570b3'>power</font>","<font color='#d95f02'>trump</font> took <font color='#7570b3'>office</font>"
"{a0} cut {a1}","{a0} would eliminate {a1}","19","<font color='#d95f02'>budget</font> cuts <font color='#7570b3'>programs</font>","<font color='#d95f02'>norahodonnell trump budget</font> would eliminate <font color='#7570b3'>program</font>","<font color='#d95f02'>trump's budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget plan</font> cuts <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>national endowment</font>","<font color='#d95f02'>trump budget</font> cuts <font color='#7570b3'>national endowment</font>","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>national endowment</font>","<font color='#d95f02'>trump budget</font> cuts <font color='#7570b3'>national endowment</font>","<font color='#d95f02'>trump budget proposal</font> would eliminate <font color='#7570b3'>national endowment</font>","<font color='#d95f02'>trump budget</font> cuts <font color='#7570b3'>national endowment</font>"
"to soothe {a0} over {a1}","to soothe {a0} {a1}","17","to soothe <font color='#d95f02'>british officials</font> over <font color='#7570b3'>trump</font>","to soothe <font color='#d95f02'>british officials</font> <font color='#7570b3'>trump wiretap claim</font>","to soothe <font color='#d95f02'>british officials</font> over <font color='#7570b3'>trump's wiretap claim</font>","to soothe <font color='#d95f02'>british officials</font> <font color='#7570b3'>trump wiretap claim</font>","to soothe <font color='#d95f02'>british officials</font> <font color='#7570b3'>trump wiretap claim</font>","to soothe <font color='#d95f02'>british officials</font> over <font color='#7570b3'>trump wiretap</font>","to soothe <font color='#d95f02'>british officials</font> over <font color='#7570b3'>trumps wiretap claim</font>","to soothe <font color='#d95f02'>british officials</font> <font color='#7570b3'>trumps wiretap claim republicans lie</font>","to soothe <font color='#d95f02'>british officials</font> <font color='#7570b3'>trump wiretap claim--how</font>","to soothe <font color='#d95f02'>british officials</font> over <font color='#7570b3'>trump wiretap claim</font>"
"{a0} freeze {a1}","{a0} use {a1}","16-17","<font color='#d95f02'>federal judges</font> used <font color='#7570b3'>trumps</font>","<font color='#d95f02'>a federal judge</font> froze <font color='#7570b3'>trumps</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>trumps revised travel ban</font>","<font color='#d95f02'>federal judges</font> used <font color='#7570b3'>trumps</font>","<font color='#d95f02'>federal judges</font> used <font color='#7570b3'>trumps</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>president trumps new entry ban</font>","<font color='#d95f02'>federal judges</font> used <font color='#7570b3'>trumps</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>trumps revised travel ban</font>","<font color='#d95f02'>federal judges</font> used <font color='#7570b3'>trumps</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>president trumps new entry ban</font>"
